pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
Kepler-1859 b,Kepler-1859,1,2,0,Transit,2021,Kepler,0.039400,1.583,3.13000,1.24,1.09,0.154,12.36714,79.40642
Kepler-1859 c,Kepler-1859,1,2,0,Transit,2023,Kepler,0.047300,1.660,3.39000,1.24,1.09,0.154,12.36714,79.40642
Kepler-186 b,Kepler-186,1,5,0,Transit,2014,Kepler,0.034300,1.070,1.24000,0.47,0.48,-1.385,8.17058,78.51990
Kepler-186 c,Kepler-186,1,5,0,Transit,2014,Kepler,0.045100,1.250,2.10000,0.47,0.48,-1.385,8.17058,78.51990
Kepler-186 d,Kepler-186,1,5,0,Transit,2014,Kepler,0.078100,1.400,2.54000,0.47,0.48,-1.385,8.17058,78.51990
Kepler-186 e,Kepler-186,1,5,0,Transit,2014,Kepler,0.110000,1.270,2.15000,0.47,0.48,-1.385,8.17058,78.51990
Kepler-186 f,Kepler-186,1,5,0,Transit,2014,Kepler,0.432000,1.170,1.71000,0.52,0.54,-1.260,8.17058,78.51990
Kepler-1860 b,Kepler-1860,1,1,0,Transit,2021,Kepler,0.102100,1.139,1.55000,0.87,0.87,-0.181,13.64710,82.60779
Kepler-1861 b,Kepler-1861,1,1,0,Transit,2021,Kepler,0.240800,2.207,5.50000,1.37,1.16,0.300,12.72337,82.91864
Kepler-1862 b,Kepler-1862,1,1,0,Transit,2021,Kepler,0.119900,2.203,5.49000,0.81,0.90,-0.215,11.94451,82.69101
Kepler-1863 b,Kepler-1863,1,1,0,Transit,2021,Kepler,0.255500,2.263,5.74000,0.98,1.10,0.410,18.62728,72.69782
Kepler-1864 b,Kepler-1864,1,1,0,Transit,2021,Kepler,0.048800,0.754,0.35300,0.98,1.03,0.030,12.91726,73.29961
Kepler-1865 b,Kepler-1865,1,1,0,Transit,2021,Kepler,0.034400,1.577,3.11000,0.87,0.85,-0.329,10.06365,74.73565
Kepler-1866 b,Kepler-1866,1,1,0,Transit,2021,Kepler,0.101600,2.082,4.99000,1.08,1.03,0.144,16.45824,75.16036
Kepler-1867 b,Kepler-1867,1,1,0,Transit,2021,Kepler,0.087200,1.160,1.65000,0.82,0.91,0.219,10.23146,76.76315
Kepler-1868 b,Kepler-1868,1,1,0,Transit,2021,Kepler,0.626600,3.150,10.10000,0.69,0.74,-0.662,11.38140,76.29601
Kepler-1869 b,Kepler-1869,1,2,0,Transit,2021,Kepler,0.079100,1.120,1.46000,0.90,0.99,-0.050,11.47224,75.34626
Kepler-1869 c,Kepler-1869,1,2,0,Transit,2023,Kepler,0.028000,0.740,0.33000,0.90,0.99,-0.050,11.47224,75.34626
Kepler-187 b,Kepler-187,1,2,0,Transit,2014,Kepler,0.059000,1.410,2.57000,1.29,1.11,0.493,7.52969,79.05757
Kepler-187 c,Kepler-187,1,2,0,Transit,2014,Kepler,0.099000,2.670,7.61000,1.29,1.11,0.493,7.52969,79.05757
Kepler-1870 b,Kepler-1870,1,1,0,Transit,2021,Kepler,0.045300,2.101,5.07000,0.84,0.96,-0.226,9.60609,73.83352
Kepler-1871 b,Kepler-1871,1,1,0,Transit,2021,Kepler,0.030800,2.422,6.44000,0.95,1.02,0.003,9.66405,71.38433
Kepler-1872 b,Kepler-1872,1,1,0,Transit,2021,Kepler,0.046500,2.384,6.28000,0.89,0.91,-0.506,19.46959,72.46658
Kepler-1873 b,Kepler-1873,1,1,0,Transit,2021,Kepler,0.012800,1.626,3.28000,0.79,0.90,-0.410,11.69033,78.98964
Kepler-1874 b,Kepler-1874,1,1,0,Transit,2021,Kepler,0.263300,2.211,5.52000,0.78,0.76,-0.577,15.99548,74.27465
Kepler-1875 b,Kepler-1875,1,1,0,Transit,2021,Kepler,0.203900,3.227,10.50000,0.86,0.95,0.407,12.31280,83.42936
Kepler-1876 b,Kepler-1876,1,1,0,Transit,2021,Kepler,0.075800,0.853,2.40000,1.48,1.19,0.429,6.42466,76.26675
Kepler-1877 b,Kepler-1877,1,1,0,Transit,2021,Kepler,0.035100,0.624,0.17900,0.94,1.02,-0.077,11.86335,79.75100
Kepler-1878 b,Kepler-1878,1,1,0,Transit,2021,Kepler,0.052100,2.920,8.86000,0.86,0.96,0.187,6.96348,79.42310
Kepler-1879 b,Kepler-1879,1,1,0,Transit,2021,Kepler,0.095300,2.065,4.92000,1.39,1.02,0.384,13.11269,73.14367
Kepler-188 b,Kepler-188,1,2,0,Transit,2014,Kepler,0.032000,1.680,3.46000,1.14,0.98,0.034,19.64002,73.51949
Kepler-188 c,Kepler-188,1,2,0,Transit,2014,Kepler,0.066000,3.190,10.30000,1.14,0.98,0.034,19.64002,73.51949
Kepler-1880 b,Kepler-1880,1,1,0,Transit,2021,Kepler,0.054000,2.117,5.13000,0.53,0.52,-0.762,13.82184,71.86779
Kepler-1881 b,Kepler-1881,1,1,0,Transit,2021,Kepler,0.536800,2.981,9.17000,0.87,0.81,-0.307,11.80554,77.70878
Kepler-1882 b,Kepler-1882,1,1,0,Transit,2021,Kepler,0.115100,1.487,2.81000,1.46,1.07,0.237,13.07410,75.38908
Kepler-1883 b,Kepler-1883,1,1,0,Transit,2021,Kepler,0.443800,3.251,10.60000,1.02,1.09,-0.016,11.59243,74.41784
