GJ 1132 c,Radial Velocity,2018,La Silla Observatory,0.047600,1.430,2.64000,7.75911,277.25461,146,186
GJ 1148 b,Radial Velocity,2010,W. M. Keck Observatory,0.166000,11.900,96.70000,68.91636,160.61794,147,187
GJ 1148 c,Radial Velocity,2017,Calar Alto Observatory,0.912000,9.710,68.06000,68.91636,160.61794,147,188
GJ 1151 c,Radial Velocity,2023,Multiple Facilities,0.571400,3.250,10.62000,65.72032,147.86957,148,189
GJ 1214 b,Transit,2009,MEarth Project,0.014900,2.742,8.17000,23.60704,26.16217,149,190
GJ 1252 b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.009150,1.193,1.32000,-35.49343,341.21724,150,191
GJ 1265 b,Radial Velocity,2018,Calar Alto Observatory,0.026000,2.630,7.40000,-52.51355,39.07968,151,192
GJ 143 b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.191500,2.610,22.70000,-45.82079,279.23027,152,193
GJ 15 A b,Radial Velocity,2014,W. M. Keck Observatory,0.072000,1.550,3.03000,-18.44687,116.69017,153,194
GJ 15 A c,Radial Velocity,2018,Roque de los Muchachos Observatory,5.400000,6.670,36.00000,-18.44687,116.69017,153,195
GJ 160.2 b,Radial Velocity,2014,Multiple Observatories,0.053000,3.170,10.20000,-45.26015,215.87260,154,196
GJ 163 b,Radial Velocity,2013,La Silla Observatory,0.060700,3.250,10.60000,-45.32001,262.77663,155,197
GJ 163 c,Radial Velocity,2013,La Silla Observatory,0.125400,2.500,6.80000,-45.32001,262.77663,155,198
GJ 163 d,Radial Velocity,2013,La Silla Observatory,1.030400,5.920,29.40000,-45.32001,262.77663,155,199
GJ 179 b,Radial Velocity,2009,W. M. Keck Observatory,2.410000,13.800,301.93699,-22.86269,192.22740,156,200
GJ 180 b,Radial Velocity,2014,Multiple Observatories,0.092000,2.430,6.49000,-33.72746,216.96953,157,201
GJ 180 c,Radial Velocity,2014,Multiple Observatories,0.129000,2.410,6.40000,-33.72746,216.96953,157,202
GJ 180 d,Radial Velocity,2020,Multiple Facilities,0.309000,2.660,7.56000,-33.72746,216.96953,157,203
GJ 2030 b,Radial Velocity,2022,Multiple Observatories,0.034000,2.030,4.76743,-49.20245,191.80875,158,204
GJ 2030 c,Radial Velocity,2022,Multiple Observatories,16.761000,12.300,4069.15709,-49.20245,191.80875,158,205
GJ 2056 b,Radial Velocity,2020,Multiple Observatories,0.283000,4.170,16.20000,-6.85292,237.43670,159,206
GJ 229 A c,Radial Velocity,2020,Multiple Facilities,0.384000,2.870,8.58137,-18.44091,228.61506,160,207
GJ 229 b,Radial Velocity,2014,Multiple Observatories,1.086000,3.970,14.93794,-18.44091,228.61506,160,208
GJ 251 b,Radial Velocity,2020,W. M. Keck Observatory,0.081800,1.830,4.00000,15.13189,182.93672,161,209
GJ 27.1 b,Radial Velocity,2014,Multiple Observatories,0.101000,3.660,13.00000,-72.72011,309.84569,162,210
GJ 273 b,Radial Velocity,2017,La Silla Observatory,0.091101,1.510,2.89000,10.37353,212.34455,163,211
GJ 273 c,Radial Velocity,2017,La Silla Observatory,0.036467,1.060,1.18000,10.37353,212.34455,163,212
GJ 3021 b,Radial Velocity,2000,La Silla Observatory,0.490000,13.100,1071.04000,-37.14415,304.86901,164,213
GJ 3082 b,Radial Velocity,2020,Multiple Facilities,0.079000,2.790,8.20000,-62.85069,295.46265,165,214
GJ 3090 b,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.031650,2.130,3.34000,-69.52189,287.95198,166,215
GJ 3138 b,Radial Velocity,2017,La Silla Observatory,0.019700,1.180,1.78000,-69.01004,185.99827,167,216
GJ 3138 c,Radial Velocity,2017,La Silla Observatory,0.057000,1.880,4.18000,-69.01004,185.99827,167,217
GJ 3138 d,Radial Velocity,2017,La Silla Observatory,0.698000,3.230,10.50000,-69.01004,185.99827,167,218
GJ 317 b,Radial Velocity,2007,W. M. Keck Observatory,1.151000,13.300,794.50000,11.19034,246.79531,168,219
GJ 317 c,Radial Velocity,2018,W. M. Keck Observatory,5.230000,13.500,522.50000,11.19034,246.79531,168,220
GJ 3222 b,Radial Velocity,2022,Multiple Observatories,0.091000,3.400,11.44182,-56.09164,245.24126,169,221
GJ 328 b,Radial Velocity,2013,McDonald Observatory,4.110000,13.300,797.74930,27.99859,226.70991,170,222
GJ 328 c,Radial Velocity,2023,Roque de los Muchachos Observatory,0.657000,4.910,21.40000,27.99859,226.70991,170,223
GJ 3293 b,Radial Velocity,2015,La Silla Observatory,0.143390,5.190,23.54000,-41.61299,223.54147,171,224
GJ 3293 c,Radial Velocity,2015,La Silla Observatory,0.361750,4.870,21.09000,-41.61299,223.54147,171,225
GJ 3293 d,Radial Velocity,2017,La Silla Observatory,0.193940,2.670,7.60000,-41.61299,223.54147,171,226
GJ 3293 e,Radial Velocity,2017,La Silla Observatory,0.082080,1.630,3.28000,-41.61299,223.54147,171,227
GJ 3323 b,Radial Velocity,2017,La Silla Observatory,0.032820,1.230,2.02000,-27.47443,206.43154,172,228
GJ 3323 c,Radial Velocity,2017,La Silla Observatory,0.126400,1.320,2.31000,-27.47443,206.43154,172,229
GJ 3341 b,Radial Velocity,2015,La Silla Observatory,0.089000,2.460,6.60000,-33.03266,234.21914,173,230
GJ 338 B b,Radial Velocity,2020,Calar Alto Observatory,0.142000,3.250,10.60000,42.66615,164.94013,174,231
GJ 3470 b,Radial Velocity,2012,La Silla Observatory,0.035500,4.570,13.90000,21.75667,206.23529,175,232
GJ 3473 b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.015890,1.264,1.86000,17.28798,218.15071,176,233
